"","Factor","df","LRT","F","p","label"
"1","stim_type:US_type",1,11.6414014577131,1.11338851313127,0.008,"L_10d_ROI-lh"
"2","stim_type:US_type",1,20.4257169049706,1.94266538889135,0,"L_10pp_ROI-lh"
"3","stim_type:US_type",1,31.0873973369853,2.97430556421697,0,"L_10r_ROI-lh"
"4","stim_type:US_type",1,18.1437734812862,1.72420127738882,0,"L_10v_ROI-lh"
"5","stim_type:US_type",1,12.5359955852909,1.19191628169892,0.004,"L_11l_ROI-lh"
"6","stim_type:US_type",1,16.1922519247128,1.53516091927383,0.003,"L_13l_ROI-lh"
"7","stim_type:US_type",1,4.03249403814698,0.38324993793088,0.099,"L_1_ROI-lh"
"8","stim_type:US_type",1,0.504761658419739,0.0475718208941764,0.404,"L_23c_ROI-lh"
"9","stim_type:US_type",1,0.0419860368310765,0.00402793800769822,0.782,"L_23d_ROI-lh"
"10","stim_type:US_type",1,0.614931973614148,0.0580915800702679,0.347,"L_24dd_ROI-lh"
"11","stim_type:US_type",1,1.42875763625125,0.135711419774348,0.202,"L_24dv_ROI-lh"
"12","stim_type:US_type",1,42.358945122709,4.03681194164378,0,"L_25_ROI-lh"
"13","stim_type:US_type",1,3.41272957022738,0.323763344359384,0.104,"L_2_ROI-lh"
"14","stim_type:US_type",1,5.93198053395827,0.564479739431788,0.03,"L_31a_ROI-lh"
"15","stim_type:US_type",1,0.495011576287652,0.0466053357731972,0.356,"L_31pd_ROI-lh"
"16","stim_type:US_type",1,2.84905456657361,0.271265511200376,0.119,"L_31pv_ROI-lh"
"17","stim_type:US_type",1,7.88006855933781,0.761068751598298,0.025,"L_33pr_ROI-lh"
"18","stim_type:US_type",1,1.80181062976771,0.171938012672294,0.163,"L_3a_ROI-lh"
"19","stim_type:US_type",1,0.0000182108742592391,0.00000174515822320859,1,"L_3b_ROI-lh"
"20","stim_type:US_type",1,2.43514965668874,0.230153024469935,0.147,"L_43_ROI-lh"
"21","stim_type:US_type",1,3.44002913870281,0.327583023972654,0.095,"L_44_ROI-lh"
"22","stim_type:US_type",1,6.70693419724921,0.632636752724691,0.026,"L_45_ROI-lh"
"23","stim_type:US_type",1,3.49659183669792,0.332029507510435,0.082,"L_46_ROI-lh"
"24","stim_type:US_type",1,3.81822590728916,0.35878047135616,0.083,"L_47l_ROI-lh"
"25","stim_type:US_type",1,23.8713525569256,2.2875421773406,0.001,"L_47m_ROI-lh"
"26","stim_type:US_type",1,4.19872436259902,0.397437067707032,0.071,"L_47s_ROI-lh"
"27","stim_type:US_type",1,0.652428305227659,0.0618277116238378,0.33,"L_4_ROI-lh"
"28","stim_type:US_type",1,4.13677874592395,0.392959627747055,0.077,"L_52_ROI-lh"
